date,borough,count
2015-07-01,Brooklyn,56946
2015-07-01,Manhattan,34775
2015-07-01,Queens,43736
2015-07-01,Staten Island,9459
2015-07-01,UNSPECIFIED,7
2015-08-01,Bronx,29901
2015-08-01,Brooklyn,53428
2015-08-01,Manhattan,35684
2015-08-01,Queens,43014
2015-08-01,Staten Island,8663
2015-08-01,UNSPECIFIED,4
2015-09-01,Bronx,28633
2015-09-01,Brooklyn,52771
2015-09-01,Manhattan,35848
2015-09-01,Queens,40442
2015-09-01,Staten Island,8802
2015-09-01,UNSPECIFIED,4
2015-10-01,Bronx,33485
2015-10-01,Brooklyn,57577
2015-10-01,Manhattan,43306
2015-10-01,Queens,42043
2015-10-01,Staten Island,8200
2015-10-01,UNSPECIFIED,0
2015-11-01,Bronx,33056
2015-11-01,Brooklyn,53085
2015-11-01,Manhattan,40017
2015-11-01,Queens,36704
2015-11-01,Staten Island,7296
2015-11-01,UNSPECIFIED,2
2015-12-01,Bronx,31469
2015-12-01,Brooklyn,50249
2015-12-01,Manhattan,36114
2015-12-01,Queens,36985
2015-12-01,Staten Island,6768
2015-12-01,UNSPECIFIED,8
2016-01-01,Bronx,42795
2016-01-01,Brooklyn,60762
2016-01-01,Manhattan,43678
2016-01-01,Queens,40493
2016-01-01,Staten Island,7586
2016-01-01,UNSPECIFIED,0
2016-02-01,Bronx,39309
2016-02-01,Brooklyn,55538
2016-02-01,Manhattan,39680
2016-02-01,Queens,39393
2016-02-01,Staten Island,7885
2016-02-01,UNSPECIFIED,3
2016-03-01,Bronx,32812
2016-03-01,Brooklyn,54599
2016-03-01,Manhattan,42663
2016-03-01,Queens,40138
2016-03-01,Staten Island,8908
2016-03-01,UNSPECIFIED,3
2016-04-01,Bronx,28759
2016-04-01,Brooklyn,51722
2016-04-01,Manhattan,41920
2016-04-01,Queens,38928
2016-04-01,Staten Island,8696
2016-04-01,UNSPECIFIED,6
2016-05-01,Bronx,31799
2016-05-01,Brooklyn,57930
2016-05-01,Manhattan,44628
2016-05-01,Queens,42575
2016-05-01,Staten Island,8749
2016-05-01,UNSPECIFIED,0
2016-06-01,Bronx,31882
2016-06-01,Brooklyn,60466
2016-06-01,Manhattan,41053
2016-06-01,Queens,45534
2016-06-01,Staten Island,9881
2016-06-01,UNSPECIFIED,7
2016-07-01,Bronx,34633
2016-07-01,Brooklyn,58149
2016-07-01,Manhattan,38181
2016-07-01,Queens,45101
2016-07-01,Staten Island,9815
2016-07-01,UNSPECIFIED,6
2016-08-01,Bronx,34654
2016-08-01,Brooklyn,57201
2016-08-01,Manhattan,39101
2016-08-01,Queens,44720
2016-08-01,Staten Island,9265
2016-08-01,UNSPECIFIED,4
2016-09-01,Bronx,29690
2016-09-01,Brooklyn,56235
2016-09-01,Manhattan,36849
2016-09-01,Queens,41863
2016-09-01,Staten Island,8251
2016-09-01,UNSPECIFIED,2
2016-10-01,Bronx,34013
2016-10-01,Brooklyn,58147
2016-10-01,Manhattan,41448
2016-10-01,Queens,41564
2016-10-01,Staten Island,9258
2016-10-01,UNSPECIFIED,8
2016-11-01,Bronx,35357
2016-11-01,Brooklyn,54539
2016-11-01,Manhattan,38077
2016-11-01,Queens,38798
2016-11-01,Staten Island,8245
2016-11-01,UNSPECIFIED,2
2016-12-01,Bronx,41404
2016-12-01,Brooklyn,59081
2016-12-01,Manhattan,40148
2016-12-01,Queens,39692
2016-12-01,Staten Island,8989
2016-12-01,UNSPECIFIED,1
2017-01-01,Bronx,40926
2017-01-01,Brooklyn,59448
2017-01-01,Manhattan,38737
2017-01-01,Queens,41616
2017-01-01,Staten Island,9673
2017-01-01,UNSPECIFIED,9
2017-02-01,Bronx,33659
2017-02-01,Brooklyn,52371
2017-02-01,Manhattan,34392
2017-02-01,Queens,35744
2017-02-01,Staten Island,8421
2017-02-01,UNSPECIFIED,10
2017-03-01,Bronx,38821
2017-03-01,Brooklyn,59241
2017-03-01,Manhattan,37246
2017-03-01,Queens,43948
2017-03-01,Staten Island,9841
2017-03-01,UNSPECIFIED,5
2017-04-01,Bronx,32120
2017-04-01,Brooklyn,55053
2017-04-01,Manhattan,39454
2017-04-01,Queens,42868
2017-04-01,Staten Island,10508
2017-04-01,UNSPECIFIED,4
2017-05-01,Bronx,32546
2017-05-01,Brooklyn,61330
2017-05-01,Manhattan,39568
2017-05-01,Queens,48105
2017-05-01,Staten Island,11358
2017-05-01,UNSPECIFIED,4
2017-06-01,Bronx,34155
2017-06-01,Brooklyn,63798
2017-06-01,Manhattan,38145
2017-06-01,Queens,49977
2017-06-01,Staten Island,11953
2017-06-01,UNSPECIFIED,4
2017-07-01,Bronx,34721
2017-07-01,Brooklyn,63870
2017-07-01,Manhattan,35452
2017-07-01,Queens,49556
2017-07-01,Staten Island,10704
2017-07-01,UNSPECIFIED,4
2017-08-01,Bronx,33795
2017-08-01,Brooklyn,60017
2017-08-01,Manhattan,35423
2017-08-01,Queens,46838
2017-08-01,Staten Island,10684
2017-08-01,UNSPECIFIED,3
2017-09-01,Bronx,30842
2017-09-01,Brooklyn,63413
2017-09-01,Manhattan,36891
2017-09-01,Queens,50192
2017-09-01,Staten Island,10314
2017-09-01,UNSPECIFIED,5
2017-10-01,Bronx,33679
2017-10-01,Brooklyn,65997
2017-10-01,Manhattan,40595
2017-10-01,Queens,51814
2017-10-01,Staten Island,10385
2017-10-01,UNSPECIFIED,11
2017-11-01,Bronx,38822
2017-11-01,Brooklyn,64934
2017-11-01,Manhattan,38834
2017-11-01,Queens,49352
2017-11-01,Staten Island,9998
2017-11-01,UNSPECIFIED,28
2017-12-01,Bronx,43114
2017-12-01,Brooklyn,65837
2017-12-01,Manhattan,39234
2017-12-01,Queens,47016
2017-12-01,Staten Island,9110
2017-12-01,UNSPECIFIED,118
2018-01-01,Bronx,49395
2018-01-01,Brooklyn,77448
2018-01-01,Manhattan,45350
2018-01-01,Queens,53628
2018-01-01,Staten Island,11587
2018-01-01,UNSPECIFIED,372
2018-02-01,Bronx,32265
2018-02-01,Brooklyn,57257
2018-02-01,Manhattan,32994
2018-02-01,Queens,43843
2018-02-01,Staten Island,10219
2018-02-01,UNSPECIFIED,571
2018-03-01,Bronx,37489
2018-03-01,Brooklyn,65764
2018-03-01,Manhattan,37267
2018-03-01,Queens,53360
2018-03-01,Staten Island,12444
2018-03-01,UNSPECIFIED,295
2018-04-01,Bronx,34941
2018-04-01,Brooklyn,62446
2018-04-01,Manhattan,38128
2018-04-01,Queens,49721
2018-04-01,Staten Island,11737
2018-04-01,UNSPECIFIED,324
2018-05-01,Bronx,35063
2018-05-01,Brooklyn,69596
2018-05-01,Manhattan,41724
2018-05-01,Queens,56349
2018-05-01,Staten Island,13418
2018-05-01,UNSPECIFIED,345
2018-06-01,Bronx,35275
2018-06-01,Brooklyn,70769
2018-06-01,Manhattan,40772
2018-06-01,Queens,56994
2018-06-01,Staten Island,13563
2018-06-01,UNSPECIFIED,244
2018-07-01,Bronx,39501
2018-07-01,Brooklyn,71319
