year,zip,borough,lat,lng,median_response_hours,count
2010,11232,Brooklyn,40.654453,-74.00357,8.333333333333334,4361
2010,11232,UNSPECIFIED,40.65212,-74.0007,144.0,2214
2010,11233,Brooklyn,40.678787,-73.9201,11.95,8615
2010,11233,UNSPECIFIED,40.678257,-73.91864,168.0,14327
2010,11234,Brooklyn,40.618866,-73.923,18.35888888888889,13441
2010,11234,UNSPECIFIED,40.623863,-73.92644,168.0,2425
2010,11235,Brooklyn,40.584137,-73.952446,24.0,11539
2010,11235,UNSPECIFIED,40.582066,-73.9553,144.0,4898
2010,11236,Brooklyn,40.640057,-73.902855,11.183472222222221,10224
2010,11236,UNSPECIFIED,40.640972,-73.90443,168.0,4177
2010,11237,Brooklyn,40.701675,-73.91935,7.226111111111111,6901
2010,11237,Queens,40.702717,-73.913086,14.475,71
2010,11237,UNSPECIFIED,40.700428,-73.91855,168.0,8982
2010,11238,Brooklyn,40.680294,-73.96346,17.733333333333334,9258
2010,11238,UNSPECIFIED,40.678265,-73.96243,168.0,6315
2010,11239,Brooklyn,40.649338,-73.87895,17.9,465
2010,11239,UNSPECIFIED,40.649315,-73.88325,384.0,148
2010,11241,Brooklyn,40.693462,-73.99057,833.0505555555555,8
2010,11242,Brooklyn,40.693222,-73.99067,104.55,9
2010,11243,Brooklyn,40.6851,-73.97779,39.70916666666667,12
2010,11243,UNSPECIFIED,40.6851,-73.97779,96.0,1
2010,11249,Brooklyn,40.71373,-73.9623,110.04166666666666,876
2010,11354,Queens,40.76621,-73.825134,38.416666666666664,7929
2010,11354,UNSPECIFIED,40.765694,-73.82269,192.0,1190
2010,11355,Queens,40.752453,-73.82201,36.03861111111111,9044
2010,11355,UNSPECIFIED,40.755753,-73.82305,216.0,2385
2010,11356,Queens,40.785145,-73.84413,24.0,4161
2010,11356,UNSPECIFIED,40.78433,-73.84613,240.0,396
2010,11357,Queens,40.78537,-73.81109,32.56666666666667,6432
2010,11357,UNSPECIFIED,40.78692,-73.812096,264.0,284
2010,11358,Queens,40.761158,-73.79707,42.44444444444444,7525
2010,11358,UNSPECIFIED,40.760933,-73.797714,216.0,603
2010,11359,Queens,40.794067,-73.80139,28.401944444444446,16
2010,11360,Queens,40.779648,-73.781235,40.55833333333333,2185
2010,11360,UNSPECIFIED,40.78124,-73.78161,240.0,168
2010,11361,Queens,40.763454,-73.77471,41.07111111111111,5381
2010,11361,UNSPECIFIED,40.76212,-73.77581,336.0,403
2010,11362,Queens,40.76042,-73.733025,35.29569444444444,2492
2010,11362,UNSPECIFIED,40.76025,-73.729126,288.0,204
2010,11363,Queens,40.77245,-73.74567,50.806527777777774,1885
2010,11363,UNSPECIFIED,40.770332,-73.74322,192.0,73
2010,11364,Queens,40.746147,-73.76046,31.804027777777776,4853
2010,11364,UNSPECIFIED,40.741085,-73.75958,192.0,478
2010,11365,Queens,40.738575,-73.79549,40.001666666666665,6340
2010,11365,UNSPECIFIED,40.735374,-73.79733,240.0,335
2010,11366,Queens,40.727654,-73.79467,39.94166666666666,2960
2010,11366,UNSPECIFIED,40.725655,-73.80229,180.0,88
2010,11367,Queens,40.728474,-73.8211,30.561666666666667,6601
2010,11367,UNSPECIFIED,40.725716,-73.817116,216.0,2383
2010,11368,Queens,40.748825,-73.860176,9.94,10724
2010,11368,UNSPECIFIED,40.74649,-73.861664,192.0,3608
2010,11369,Queens,40.763237,-73.87206,20.333333333333332,6068
2010,11369,UNSPECIFIED,40.76066,-73.8723,240.0,1378
2010,11370,Bronx,40.77661,-73.890335,24.0,3
2010,11370,Queens,40.762955,-73.89033,21.07263888888889,3265
2010,11370,UNSPECIFIED,40.76088,-73.88954,240.0,481
2010,11371,Queens,40.7704,-73.873886,13.864166666666666,44
2010,11372,Queens,40.751244,-73.88382,21.016666666666666,7093
2010,11372,UNSPECIFIED,40.752148,-73.88123,216.0,3214
2010,11373,Queens,40.73996,-73.87865,16.12152777777778,8885
2010,11373,UNSPECIFIED,40.74252,-73.87729,216.0,3949
2010,11374,Queens,40.72651,-73.86146,25.302777777777777,4740
2010,11374,UNSPECIFIED,40.728294,-73.85964,192.0,1836
2010,11375,Queens,40.721176,-73.846886,36.127361111111114,10317
2010,11375,UNSPECIFIED,40.72391,-73.8466,192.0,2533
2010,11377,Bronx,40.755398,-73.9041,24.0,5
2010,11377,Queens,40.745033,-73.90439,10.741666666666667,11226
2010,11377,UNSPECIFIED,40.744713,-73.906715,216.0,3411
2010,11378,Queens,40.724243,-73.90289,22.547361111111112,7287
2010,11378,UNSPECIFIED,40.721848,-73.9026,240.0,829
2010,11379,Queens,40.718098,-73.88045,27.108333333333334,6415
2010,11379,UNSPECIFIED,40.71985,-73.87453,240.0,482
2010,11385,Brooklyn,40.691532,-73.89919,8.435,23
